id,Classification,precision,recall,f1-score,support
0,Speed limit (20km/h),0.78,0.90,0.84,42
1,Speed limit (30km/h),0.59,0.47,0.52,57
2,Speed limit (50km/h),0.48,0.44,0.46,57
3,Speed limit (60km/h),0.49,0.54,0.52,57
4,Speed limit (70km/h),0.55,0.51,0.53,57
5,Speed limit (80km/h),0.40,0.33,0.36,57
6,End of speed limit (80km/h),0.83,0.86,0.84,57
7,Speed limit (100km/h),0.41,0.35,0.38,57
8,Speed limit (120km/h),0.61,0.60,0.60,57
9,No passing,0.76,0.67,0.71,57
10,No passing for vehicles over 3.5 metric tons,0.77,0.81,0.79,57
11,Right-of-way at the next intersection,0.69,0.72,0.71,57
12,Priority road,0.40,0.40,0.40,57
13,Yield,0.73,0.81,0.77,57
14,Stop,0.83,0.67,0.74,57
15,No vehicles,0.78,0.81,0.79,57
16,Vehicles over 3.5 metric tons prohibited,0.89,0.88,0.88,57
17,No entry,0.93,0.95,0.94,57
18,General caution,0.62,0.56,0.59,57
19,Dangerous curve to the left,0.86,0.86,0.86,42
20,Dangerous curve to the right,0.73,0.77,0.75,57
21,Double curve,0.75,0.91,0.83,57
22,Bumpy road,0.82,0.89,0.86,57
23,Slippery road,0.79,0.79,0.79,57
24,Road narrows on the right,0.74,0.83,0.78,54
25,Road work,0.61,0.53,0.57,57
26,Traffic signals,0.83,0.86,0.84,57
27,Pedestrians,0.88,0.75,0.81,48
28,Children crossing,0.67,0.68,0.68,57
29,Bicycles crossing,0.71,0.85,0.77,54
30,Beware of ice/snow,0.74,0.74,0.74,57
31,Wild animals crossing,0.70,0.67,0.68,57
32,End of all speed and passing limits,0.88,0.88,0.88,48
33,Turn right ahead,0.82,0.93,0.87,57
34,Turn left ahead,0.90,0.91,0.90,57
35,Ahead only,0.77,0.70,0.73,57
36,Go straight or right,0.88,0.88,0.88,57
37,Go straight or left,0.98,0.98,0.98,42
38,Keep right,0.62,0.65,0.63,57
39,Keep left,0.89,0.95,0.92,57
40,Roundabout mandatory,0.87,0.84,0.86,57
41,End of no passing,0.93,0.88,0.90,48
42,End of no passing by vehicles over 3.5 metric tons,0.86,0.92,0.89,48
43,accuracy,,,0.74,2364
44,macro avg,0.74,0.74,0.74,2364
45,weighted avg,0.73,0.74,0.73,2364
